alpha_0;0.0;0.52298665;0.60542583;0.7819601;0.759096;0.8796367;0.7568613;0.7871149;0.72291195;0.79836047;0.77232885;0.88589734;0.84763825;0.85298747;0.8171554;0.8702305;0.75956184;0.7637585;0.8321292;0.8292193;0.8656678;0.78837407;0.86354434;1.000658;1.0448385;1.1450593;1.10445;1.142504;1.1160104;1.0902365;1.0444471;1.046548;0.87480235;0.9574216;1.0314277;1.0533483;0.94398654;0.87478495;0.9080026;1.024472;1.1036141;1.016564;0.91860676;0.9747893;0.8993938;0.850899;0.8849862;1.0176195;1.2031367;1.1615698;1.1480343;1.134895;1.1256506;1.0160986;1.0649924;0.9773042;1.2271194;1.1440587;0.91237056;0.978024;1.005833;1.0071653;1.0590032;1.0086818;0.97996557;0.9367889;0.9519103;0.9705864;0.8592711;1.0016783;0.8409031;0.9476954;0.96165;0.9263486;0.92135537;0.99625343;0.9843832;0.9771256;0.9783217
alpha_7;0.52298665;0.0;0.4505757;0.5595863;0.8558855;0.7768134;0.9301803;0.82464564;0.7932787;0.7649202;0.79522705;0.8393208;0.87753147;0.9278355;0.92566824;0.86654985;0.9354307;0.79982764;0.6934241;0.725737;0.7594924;0.81867325;1.0611815;1.0731149;1.0420656;1.0789096;1.0427227;1.1174212;0.98906463;0.958609;0.90500116;0.8382994;1.0351743;1.0610304;1.0898986;1.0222067;1.0066149;0.9295714;0.96308815;0.97895885;0.9783682;1.0034564;0.94119555;0.8575347;0.89810765;0.8114431;0.8407618;0.9014061;1.0110552;1.0401344;1.0112027;1.0306304;1.0174725;0.9369409;0.955266;0.9740048;0.9993802;0.9930533;0.74362767;0.6289861;0.6893296;0.76982075;0.88235205;0.8249202;1.0015328;0.8696242;0.8260425;0.82382816;0.8768166;0.7248813;0.7256161;0.84390837;1.1002854;1.0117115;0.96185094;0.80762094;0.87709713;0.72390187;0.73638403
alpha_14;0.60542583;0.4505757;0.0;0.2835477;0.40939045;0.6503475;0.7559263;0.803911;0.8053086;0.82821286;0.6010276;0.59596026;0.63078773;0.7784027;0.7397828;0.8667219;0.8628599;0.9017292;0.80620235;0.88854736;0.8957825;0.9292527;1.0578791;1.111544;1.0625788;1.0419211;0.99187255;1.1618403;1.1504245;0.9622285;0.92436206;0.9328225;1.1022102;1.055938;1.0217782;1.0644203;1.0562708;1.0234468;0.8926844;0.8708841;0.94360507;1.038296;1.0130093;1.0068554;0.87069476;0.77418613;0.839478;0.9951153;0.90238047;0.9946002;0.99669147;1.0618567;1.0575587;0.8444221;1.0284534;1.0776892;0.8946396;0.9605429;0.7877666;0.57622266;0.64810526;0.72137606;0.79738736;0.83193386;0.9324981;0.88866895;0.7232116;0.70141757;0.8221714;0.81188357;0.70913833;0.89755493;1.0382768;0.9413806;0.9677109;0.79482484;0.775746;0.73498785;0.6994251
alpha_21;0.7819601;0.5595863;0.2835477;0.0;0.36799902;0.4321956;0.76355076;0.75365746;0.83869845;0.8716826;0.6605485;0.53273785;0.48840517;0.6311827;0.66842794;0.7669616;0.90304387;0.9520805;0.8723638;0.8585383;0.8085048;0.8135725;0.8810945;0.85568845;0.8025029;0.87616235;0.94133365;1.0109044;0.96369445;0.9898525;0.970394;0.9305887;1.0808222;1.0007541;0.88035375;0.97851264;1.0519608;1.0902535;0.948784;0.8373389;0.83804184;0.98219746;1.0410639;1.0078968;0.923954;0.8659387;0.8822749;0.8629702;0.8885298;0.95521283;0.9805671;1.04573;1.0346646;0.89162725;1.0151165;1.0855098;0.8727527;0.943412;0.8511878;0.72540057;0.7750622;0.837419;0.8940455;0.89261717;0.8859251;0.8720227;0.70143855;0.710649;0.8725503;0.8885309;0.8077185;0.8914535;0.93812895;0.93994033;0.9663777;0.85100347;0.88306487;0.840352;0.83101904
alpha_28;0.759096;0.8558855;0.40939045;0.36799902;0.0;0.42860758;0.39410013;0.6905657;0.7418204;0.9785264;0.715859;0.70924026;0.4654233;0.56308234;0.43627977;0.7598868;0.72455764;1.0007489;1.0507673;1.104989;1.0961198;0.9821752;0.9158578;0.9575897;0.8954967;0.9236054;0.8993914;1.0509245;1.182118;1.0418215;1.0567199;1.1542337;1.0800633;1.091185;0.83772117;0.8929652;0.9478303;1.0874512;1.0129483;0.87206256;0.8979331;0.93963856;1.010441;1.2196317;1.0190558;0.96289;0.9625436;1.0925511;0.93772453;0.9814223;1.0043602;1.0763958;1.0886115;0.926526;1.0756745;1.1270379;0.93464935;1.0220976;0.92803097;0.83143365;0.8791773;0.8853584;0.846205;0.95354486;0.9157125;1.0133833;0.78410506;0.80957896;0.7982437;1.0262389;0.84827006;0.9705453;0.9127444;0.89508975;0.96416616;0.95043206;0.8648477;0.9715799;0.91252947
alpha_35;0.8796367;0.7768134;0.6503475;0.4321956;0.42860758;0.0;0.478285;0.48626328;0.6412864;0.8174232;0.80153704;0.76563704;0.64453936;0.5434506;0.57721025;0.59920615;0.6539027;0.8285726;0.92612267;0.8553181;0.85612255;0.8722489;0.82651794;0.8324063;0.723837;0.80744606;0.93666464;0.98990834;0.8456562;1.0180312;0.98654944;1.0256625;1.0699159;1.1260244;0.88666177;0.8293167;0.91987103;1.037572;1.0678344;0.92340153;0.8434707;0.8679828;0.94718564;1.0132195;1.007459;0.98659104;0.9309058;0.84128106;0.9167283;0.9646534;0.9761253;1.018108;1.0195581;0.9474082;0.9770801;1.0529119;0.91496533;0.97351396;0.8941007;0.8706833;0.89301306;0.946146;0.9044482;0.89627784;0.8897463;0.94534874;0.7647696;0.754895;0.9175045;0.95069146;0.8973496;0.8942367;0.9071768;0.927632;0.9315295;0.935588;0.9477283;0.92354155;0.91561055
alpha_42;0.7568613;0.9301803;0.7559263;0.76355076;0.39410013;0.478285;0.0;0.50156194;0.49183977;0.8009363;0.98606676;0.9911796;0.74134016;0.73188245;0.53018975;0.7816508;0.48478866;0.78012735;1.0965492;1.0133598;1.1149231;1.0220225;0.9024481;0.9565583;0.917244;0.89979666;0.8153589;0.92153496;1.0151454;0.9332185;0.98351216;1.0983362;1.0289452;1.2317114;0.98624814;0.79238504;0.75356436;0.9216504;1.0749744;1.0168741;0.9660601;0.8341522;0.8531064;1.2042768;1.0548947;1.0268782;0.985558;1.1432356;1.0348465;1.0406493;1.0354788;1.0822132;1.0965977;0.9774823;1.0554911;1.0840912;1.0700196;1.0882236;0.97117615;0.9350044;0.9599278;0.9656068;0.8429792;0.9677141;0.91979516;1.09169;0.8615153;0.87487507;0.87343204;1.0804812;0.9090595;0.97874194;0.94384354;0.9649987;0.953922;0.99011654;0.8935323;1.0319756;1.0232404
alpha_49;0.7871149;0.82464564;0.803911;0.75365746;0.6905657;0.48626328;0.50156194;0.0;0.38325602;0.58973765;0.77307165;0.81337476;0.8707402;0.5887964;0.631169;0.4348119;0.5384946;0.52124786;0.9537417;0.88551366;0.8890972;0.8032886;0.8119802;0.8849164;0.8037716;0.94954735;0.97759116;1.0159448;0.9470648;1.0633327;1.0574442;1.0902411;1.015725;1.1740868;1.072248;0.9532429;0.90480214;0.92217946;1.1516807;1.1148274;1.044621;0.9142471;0.9140312;0.8934429;1.066774;1.0836008;1.0562346;0.7850949;1.0080156;1.0043011;1.0176905;1.007465;0.99295396;1.0068644;0.9694138;0.94890165;1.0215133;1.0182868;0.83695453;0.98925126;0.97970486;0.98768085;0.9781878;0.90054077;0.9881309;1.010955;0.9799572;0.96689767;0.86388284;0.96206367;0.86485475;0.85363704;0.90783614;0.8972699;0.93176585;1.0004088;1.0534506;1.0248219;1.0009376
alpha_56;0.72291195;0.7932787;0.8053086;0.83869845;0.7418204;0.6412864;0.49183977;0.38325602;0.0;0.503634;0.5175971;0.88105667;0.8572719;0.74350905;0.595384;0.50612366;0.5246321;0.5270663;1.0385454;0.8012586;0.83273655;0.7132752;0.79334;0.85492706;0.8174746;0.86777073;0.9007905;0.87739956;0.89895874;0.95671034;0.93941474;0.9589968;0.9629813;1.2248042;1.2084725;0.9551746;0.7823789;0.7198021;1.0483466;1.1840982;1.1343962;0.89711094;0.78964204;0.8765732;1.0250219;1.0956957;1.034345;0.8352124;1.118331;1.1002254;1.1218134;1.1065404;1.0630711;0.9939399;1.038439;0.9468405;1.1755699;1.1442066;0.9561844;1.0472637;1.0783815;1.0459096;1.0192438;1.0379325;0.9369106;1.0628141;0.99677175;1.0416334;0.8871658;1.0785443;0.95981175;0.93984216;0.81096447;0.88237983;0.94620335;1.0424746;1.0781097;1.1140175;1.1097858
alpha_63;0.79836047;0.7649202;0.82821286;0.8716826;0.9785264;0.8174232;0.8009363;0.58973765;0.503634;0.0;0.63346124;0.6445615;0.93822193;0.8097743;0.94529355;0.6761423;0.6996936;0.4829384;0.97743297;0.7649721;0.792513;0.7822487;0.84386873;0.8991931;0.9031939;0.8797943;0.88779676;0.82310295;0.84582114;0.8985908;0.91363907;0.79237056;0.95665455;1.0766484;1.1898793;1.0247313;0.9189204;0.80420053;1.0034899;1.1317656;1.0867816;0.9831774;0.9063312;0.789606;0.9998308;1.0315204;1.0515168;0.7685541;1.0941949;1.0930696;1.0903863;1.0646747;1.0438164;0.9355894;0.99615717;0.9274806;1.0900474;1.0844953;0.8868027;0.95354587;0.9717037;0.9625212;0.9966243;0.99620074;1.0122446;1.0418234;0.99526435;0.99285406;0.9444735;0.99928343;0.9511553;0.93005645;1.0105377;0.9937434;1.0235974;1.0412042;1.1187835;1.0500016;1.0697018
